keyword,coefficient,abs_coef
주문제작,-0.5304972134903763,0.5304972134903763
120ml,-0.5326266273444704,0.5326266273444704
실리콘,-0.5349872953188171,0.5349872953188171
보온보냉텀블러,-0.5389003658958091,0.5389003658958091
뚜껑,-0.5498314252667749,0.5498314252667749
텀블러 대용량,-0.5524146329995147,0.5524146329995147
500,-0.5948668834092903,0.5948668834092903
300ml,-0.6010842892770016,0.6010842892770016
텀블러 제작,-0.6058879542395754,0.6058879542395754
스벅,-0.6071507727561775,0.6071507727561775
텀블러제작,-0.6112400751805132,0.6112400751805132
투명,-0.6322390147644449,0.6322390147644449
속마개,-0.6376069402897504,0.6376069402897504
키친아트,-0.6576012572741567,0.6576012572741567
오슬로,-0.7393259835973383,0.7393259835973383
커버,-0.8011763671106016,0.8011763671106016
꾸미기,-0.8043408261623687,0.8043408261623687
리유저블,-0.829700142957807,0.829700142957807
바닥커버,-1.3393699791458211,1.3393699791458211
호환,-1.6074868639853133,1.6074868639853133
